#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COX6A1	MT-ND1	9606.ENSP00000229379	9606.ENSP00000354687	0	0	0	0	0.056	0.258	0	0.414	0.553
COX6A1	MT-CYB	9606.ENSP00000229379	9606.ENSP00000354554	0	0	0	0	0.049	0.747	0.540	0.396	0.924
COX6A1	UQCRC2	9606.ENSP00000229379	9606.ENSP00000268379	0	0	0	0	0.402	0.840	0.707	0.392	0.980
COX6A1	CYC1	9606.ENSP00000229379	9606.ENSP00000317159	0	0	0	0	0.606	0.831	0.624	0.495	0.985
COX6A1	UQCRFS1	9606.ENSP00000229379	9606.ENSP00000306397	0	0	0	0	0.417	0.842	0.673	0.618	0.986
COX6A1	COX5B	9606.ENSP00000229379	9606.ENSP00000258424	0	0	0	0	0.892	0.980	0.888	0.966	0.999
COX6A1	MT-CO3	9606.ENSP00000229379	9606.ENSP00000354982	0	0	0	0	0.095	0.993	0.888	0.588	0.999
COX6A1	MT-CO1	9606.ENSP00000229379	9606.ENSP00000354499	0	0	0	0	0.058	0.987	0.800	0.634	0.999
COX6A1	COX5A	9606.ENSP00000229379	9606.ENSP00000317780	0	0	0	0	0.835	0.966	0.888	0.958	0.999
CYC1	COX6A1	9606.ENSP00000317159	9606.ENSP00000229379	0	0	0	0	0.606	0.831	0.624	0.495	0.985
CYC1	COX5B	9606.ENSP00000317159	9606.ENSP00000258424	0	0	0	0	0.927	0.991	0.634	0.549	0.999
CYC1	UQCRC2	9606.ENSP00000317159	9606.ENSP00000268379	0	0	0	0	0.965	0.991	0.907	0.904	0.999
CYC1	UQCRFS1	9606.ENSP00000317159	9606.ENSP00000306397	0.231	0	0.251	0	0.977	0.995	0.980	0.999	0.999
CYC1	MT-ATP6	9606.ENSP00000317159	9606.ENSP00000354632	0	0	0	0	0.141	0	0	0.461	0.517
CYC1	MT-ND1	9606.ENSP00000317159	9606.ENSP00000354687	0	0	0	0	0.201	0.959	0.809	0.369	0.995
CYC1	MT-CO3	9606.ENSP00000317159	9606.ENSP00000354982	0.231	0	0	0	0.312	0.991	0.908	0.492	0.999
CYC1	MT-CO1	9606.ENSP00000317159	9606.ENSP00000354499	0.231	0	0	0	0.338	0.991	0.908	0.531	0.999
CYC1	COX5A	9606.ENSP00000317159	9606.ENSP00000317780	0	0	0	0	0.892	0.992	0.602	0.577	0.999
CYC1	MT-CYB	9606.ENSP00000317159	9606.ENSP00000354554	0.111	0.900	0	0	0.690	0.987	0.967	0.998	0.999
MT-ATP6	COX6A1	9606.ENSP00000354632	9606.ENSP00000229379	0	0	0	0	0.070	0	0	0.490	0.505
MT-ATP6	UQCRC2	9606.ENSP00000354632	9606.ENSP00000268379	0	0	0	0	0.075	0	0	0.499	0.516
MT-ATP6	UQCRFS1	9606.ENSP00000354632	9606.ENSP00000306397	0	0	0	0	0.594	0	0	0.791	0.911
MT-ATP6	CYC1	9606.ENSP00000354632	9606.ENSP00000317159	0	0	0	0	0.141	0	0	0.461	0.517
MT-ATP6	COX5A	9606.ENSP00000354632	9606.ENSP00000317780	0	0	0	0	0.111	0	0	0.424	0.466
MT-ATP6	MT-CO1	9606.ENSP00000354632	9606.ENSP00000354499	0	0	0	0	0.972	0.092	0	0.946	0.998
MT-ATP6	MT-CYB	9606.ENSP00000354632	9606.ENSP00000354554	0	0	0	0	0.999	0	0	0.972	0.999
MT-ATP6	MT-ND1	9606.ENSP00000354632	9606.ENSP00000354687	0.189	0	0	0	0.999	0	0	0.956	0.999
MT-ATP6	MT-CO3	9606.ENSP00000354632	9606.ENSP00000354982	0	0	0.200	0	0.999	0.954	0	0.978	0.999
MT-CO1	COX6A1	9606.ENSP00000354499	9606.ENSP00000229379	0	0	0	0	0.058	0.987	0.800	0.634	0.999
MT-CO1	COX5B	9606.ENSP00000354499	9606.ENSP00000258424	0	0	0	0	0.167	0.993	0.935	0.781	0.999
MT-CO1	UQCRC2	9606.ENSP00000354499	9606.ENSP00000268379	0.057	0	0	0	0.067	0.982	0.913	0.978	0.999
MT-CO1	UQCRFS1	9606.ENSP00000354499	9606.ENSP00000306397	0.231	0	0	0	0.645	0.991	0.980	0.796	0.999
MT-CO1	CYC1	9606.ENSP00000354499	9606.ENSP00000317159	0.231	0	0	0	0.338	0.991	0.908	0.531	0.999
MT-CO1	COX5A	9606.ENSP00000354499	9606.ENSP00000317780	0	0	0	0	0.109	0.990	0.967	0.830	0.999
MT-CO1	MT-ATP6	9606.ENSP00000354499	9606.ENSP00000354632	0	0	0	0	0.972	0.092	0	0.946	0.998
MT-CO1	MT-CYB	9606.ENSP00000354499	9606.ENSP00000354554	0.111	0	0.249	0	0.999	0.953	0.800	0.970	0.999
MT-CO1	MT-ND1	9606.ENSP00000354499	9606.ENSP00000354687	0	0	0	0	0.944	0.830	0.809	0.938	0.999
MT-CO1	MT-CO3	9606.ENSP00000354499	9606.ENSP00000354982	0.231	0	0.527	0	0.999	0.994	0.980	0.999	0.999
MT-CO3	COX6A1	9606.ENSP00000354982	9606.ENSP00000229379	0	0	0	0	0.095	0.993	0.888	0.588	0.999
MT-CO3	COX5B	9606.ENSP00000354982	9606.ENSP00000258424	0	0	0	0	0.103	0.994	0.959	0.595	0.999
MT-CO3	UQCRC2	9606.ENSP00000354982	9606.ENSP00000268379	0.111	0	0	0	0.056	0.986	0.925	0.416	0.999
MT-CO3	UQCRFS1	9606.ENSP00000354982	9606.ENSP00000306397	0.231	0	0	0	0.907	0.991	0.980	0.541	0.999
MT-CO3	CYC1	9606.ENSP00000354982	9606.ENSP00000317159	0.231	0	0	0	0.312	0.991	0.908	0.492	0.999
MT-CO3	COX5A	9606.ENSP00000354982	9606.ENSP00000317780	0	0	0	0	0.083	0.991	0.979	0.574	0.999
MT-CO3	MT-CO1	9606.ENSP00000354982	9606.ENSP00000354499	0.231	0	0.527	0	0.999	0.994	0.980	0.999	0.999
MT-CO3	MT-CYB	9606.ENSP00000354982	9606.ENSP00000354554	0.111	0	0.405	0	0.999	0.963	0.800	0.959	0.999
MT-CO3	MT-ATP6	9606.ENSP00000354982	9606.ENSP00000354632	0	0	0.200	0	0.999	0.954	0	0.978	0.999
MT-CO3	MT-ND1	9606.ENSP00000354982	9606.ENSP00000354687	0	0	0	0	0.999	0.830	0.809	0.875	0.999
MT-CYB	COX6A1	9606.ENSP00000354554	9606.ENSP00000229379	0	0	0	0	0.049	0.747	0.540	0.396	0.924
MT-CYB	COX5B	9606.ENSP00000354554	9606.ENSP00000258424	0	0	0	0	0	0.972	0.540	0.414	0.992
MT-CYB	UQCRC2	9606.ENSP00000354554	9606.ENSP00000268379	0	0	0	0	0	0.985	0.851	0.852	0.999
MT-CYB	UQCRFS1	9606.ENSP00000354554	9606.ENSP00000306397	0.111	0	0.258	0	0.691	0.991	0.967	0.998	0.999
MT-CYB	CYC1	9606.ENSP00000354554	9606.ENSP00000317159	0.111	0.900	0	0	0.690	0.987	0.967	0.998	0.999
MT-CYB	COX5A	9606.ENSP00000354554	9606.ENSP00000317780	0	0	0	0	0	0.957	0.540	0.474	0.988
MT-CYB	MT-CO1	9606.ENSP00000354554	9606.ENSP00000354499	0.111	0	0.249	0	0.999	0.953	0.800	0.970	0.999
MT-CYB	MT-ND1	9606.ENSP00000354554	9606.ENSP00000354687	0	0	0	0	0.999	0.897	0.585	0.951	0.999
MT-CYB	MT-ATP6	9606.ENSP00000354554	9606.ENSP00000354632	0	0	0	0	0.999	0	0	0.972	0.999
MT-CYB	MT-CO3	9606.ENSP00000354554	9606.ENSP00000354982	0.111	0	0.405	0	0.999	0.963	0.800	0.959	0.999
MT-ND1	COX6A1	9606.ENSP00000354687	9606.ENSP00000229379	0	0	0	0	0.056	0.258	0	0.414	0.553
MT-ND1	COX5B	9606.ENSP00000354687	9606.ENSP00000258424	0	0	0	0	0.136	0.844	0	0.442	0.918
MT-ND1	UQCRC2	9606.ENSP00000354687	9606.ENSP00000268379	0	0	0	0	0.064	0.886	0.284	0.512	0.957
MT-ND1	UQCRFS1	9606.ENSP00000354687	9606.ENSP00000306397	0.042	0	0	0	0.222	0.959	0.809	0.606	0.997
MT-ND1	CYC1	9606.ENSP00000354687	9606.ENSP00000317159	0	0	0	0	0.201	0.959	0.809	0.369	0.995
MT-ND1	COX5A	9606.ENSP00000354687	9606.ENSP00000317780	0	0	0	0	0.128	0.830	0	0.427	0.907
MT-ND1	MT-CO1	9606.ENSP00000354687	9606.ENSP00000354499	0	0	0	0	0.944	0.830	0.809	0.938	0.999
MT-ND1	MT-CYB	9606.ENSP00000354687	9606.ENSP00000354554	0	0	0	0	0.999	0.897	0.585	0.951	0.999
MT-ND1	MT-ATP6	9606.ENSP00000354687	9606.ENSP00000354632	0.189	0	0	0	0.999	0	0	0.956	0.999
MT-ND1	MT-CO3	9606.ENSP00000354687	9606.ENSP00000354982	0	0	0	0	0.999	0.830	0.809	0.875	0.999
UQCRC2	COX6A1	9606.ENSP00000268379	9606.ENSP00000229379	0	0	0	0	0.402	0.840	0.707	0.392	0.980
UQCRC2	COX5B	9606.ENSP00000268379	9606.ENSP00000258424	0	0	0	0	0.776	0.990	0.786	0.664	0.999
UQCRC2	MT-ATP6	9606.ENSP00000268379	9606.ENSP00000354632	0	0	0	0	0.075	0	0	0.499	0.516
UQCRC2	MT-ND1	9606.ENSP00000268379	9606.ENSP00000354687	0	0	0	0	0.064	0.886	0.284	0.512	0.957
UQCRC2	UQCRFS1	9606.ENSP00000268379	9606.ENSP00000306397	0	0	0	0	0.933	0.994	0.967	0.988	0.999
UQCRC2	CYC1	9606.ENSP00000268379	9606.ENSP00000317159	0	0	0	0	0.965	0.991	0.907	0.904	0.999
UQCRC2	MT-CO3	9606.ENSP00000268379	9606.ENSP00000354982	0.111	0	0	0	0.056	0.986	0.925	0.416	0.999
UQCRC2	MT-CO1	9606.ENSP00000268379	9606.ENSP00000354499	0.057	0	0	0	0.067	0.982	0.913	0.978	0.999
UQCRC2	MT-CYB	9606.ENSP00000268379	9606.ENSP00000354554	0	0	0	0	0	0.985	0.851	0.852	0.999
UQCRC2	COX5A	9606.ENSP00000268379	9606.ENSP00000317780	0	0	0	0	0.923	0.988	0.953	0.732	0.999
UQCRFS1	COX6A1	9606.ENSP00000306397	9606.ENSP00000229379	0	0	0	0	0.417	0.842	0.673	0.618	0.986
UQCRFS1	COX5B	9606.ENSP00000306397	9606.ENSP00000258424	0	0	0	0	0.970	0.991	0.715	0.664	0.999
UQCRFS1	UQCRC2	9606.ENSP00000306397	9606.ENSP00000268379	0	0	0	0	0.933	0.994	0.967	0.988	0.999
UQCRFS1	MT-ATP6	9606.ENSP00000306397	9606.ENSP00000354632	0	0	0	0	0.594	0	0	0.791	0.911
UQCRFS1	MT-ND1	9606.ENSP00000306397	9606.ENSP00000354687	0.042	0	0	0	0.222	0.959	0.809	0.606	0.997
UQCRFS1	MT-CYB	9606.ENSP00000306397	9606.ENSP00000354554	0.111	0	0.258	0	0.691	0.991	0.967	0.998	0.999
UQCRFS1	COX5A	9606.ENSP00000306397	9606.ENSP00000317780	0	0	0	0	0.974	0.991	0.925	0.750	0.999
UQCRFS1	MT-CO1	9606.ENSP00000306397	9606.ENSP00000354499	0.231	0	0	0	0.645	0.991	0.980	0.796	0.999
UQCRFS1	CYC1	9606.ENSP00000306397	9606.ENSP00000317159	0.231	0	0.251	0	0.977	0.995	0.980	0.999	0.999
UQCRFS1	MT-CO3	9606.ENSP00000306397	9606.ENSP00000354982	0.231	0	0	0	0.907	0.991	0.980	0.541	0.999
